id,key,status,summary,description,name,iconUrl,priority,severity
10001,DEMO-01,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-01 link at the top of this card to open the detail view","Example:\n\n#1) Login as Sales Manager\n#2) Go to the Reports page and choose Purchase Order Report\n#3) Select any filter criteria\n#4) Click the 'Show Report' button.\n\nExpected Result: The report should show as per the criteria selected\nActual Result: 404 not found error",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10002,DEMO-02,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-02 link at the top of this card to open the detail view","Example:\n\n#1) Login as Sales Representative\n#2) Go to the Products page\n#3) Select a product\n#4) Update the product details\n\nExpected Result: The product details should be successfully updated\nActual Result: Error occurred while saving the changes",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10003,DEMO-03,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-03 link at the top of this card to open the detail view","Example:\n\n#1) Login as Administrator\n#2) Go to the Settings page\n#3) Modify the system configuration\n#4) Save the changes\n\nExpected Result: The system configuration should be successfully updated\nActual Result: Error occurred while saving the changes",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10004,DEMO-04,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-04 link at the top of this card to open the detail view","Example:\n\n#1) Login as Customer\n#2) Add items to the shopping cart\n#3) Proceed to checkout\n#4) Enter payment details\n\nExpected Result: The payment should be processed successfully\nActual Result: Payment failed due to an invalid card",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10005,DEMO-05,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-05 link at the top of this card to open the detail view","Example:\n\n#1) Login as Sales Manager\n#2) Go to the Reports page and choose Purchase Order Report\n#3) Select any filter criteria\n#4) Click the Show Report button.\n\nExpected Result: The report should show as per the criteria selected\nActual Result: 404 not found error",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10006,DEMO-06,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-06 link at the top of this card to open the detail view","Example:\n\n#1) Login as Sales Representative\n#2) Go to the Customer Management page\n#3) Search for a specific customer\n#4) Update the customer's contact information\n\nExpected Result: The customer's contact information should be successfully updated\nActual Result: Error occurred while saving the changes",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10007,DEMO-07,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-07 link at the top of this card to open the detail view","Example:\n\n#1) Login as Administrator\n#2) Go to the Settings page\n#3) Modify the system configuration\n#4) Save the changes\n\nExpected Result: The system configuration should be successfully updated\nActual Result: Error occurred while saving the changes",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10008,DEMO-08,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-08 link at the top of this card to open the detail view","Example:\n\n#1) Login as Customer\n#2) Add items to the shopping cart\n#3) Proceed to checkout\n#4) Enter valid payment information\n\nExpected Result: The payment should be processed successfully\nActual Result: Error occurred while processing the payment",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10009,DEMO-09,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-09 link at the top of this card to open the detail view","Example:\n\n#1) Login as Sales Manager\n#2) Go to the Reports page and choose Purchase Order Report\n#3) Select any filter criteria\n#4) Click the Show Report button.\n\nExpected Result: The report should show as per the criteria selected\nActual Result: 404 not found error",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10010,DEMO-10,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-10 link at the top of this card to open the detail view","Example:\n\n#1) Login as Administrator\n#2) Go to the Settings page\n#3) Modify the system preferences\n#4) Save the changes\n\nExpected Result: The system preferences should be successfully updated\nActual Result: Error occurred while saving the changes",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10011,DEMO-11,To Do,"As a developer, I can update details on an item using the Detail View >> Click the DEMO-11 link at the top of this card to open the detail view","Example:\n\n#1) Login as Customer\n#2) Add items to the shopping cart\n#3) Proceed to checkout\n#4) Apply a discount code\n\nExpected Result: The discount code should be applied successfully\nActual Result: Error occurred while applying the discount code",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10018,DEMO-18,To Do,"As an administrator, I cannot delete a user's comment from the discussion forum.","Steps to Reproduce:\n\n1) Login to the application as an administrator.\n2) Navigate to the discussion forum section.\n3) Locate a user's comment that needs to be deleted.\n4) Look for a delete option or button next to the comment.\nExpected Result: The administrator should be able to delete the user's comment from the discussion forum.\nActual Result: No option or button is provided to delete the user's comment, preventing the administrator from removing unwanted content.",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10019,DEMO-19,To Do,"As a user, I am unable to access the search feature on the homepage.","Steps to Reproduce:\n\n1) Visit the application's homepage.\n2) Look for a search bar or search feature on the page.\nExpected Result: The homepage should include a search bar or search feature for users to perform searches within the application.\nActual Result: No search bar or search feature is available on the homepage, preventing users from conducting searches.",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
10020,DEMO-20,To Do,"As a user, I encounter an error when attempting to upload a file in the document management system.","Steps to Reproduce:\n\n1) Login to the application with valid credentials.\n2) Go to the document management system.\n3) Click on the ""Upload"" button to add a new file.\n4) Select a file from the local file system.\n5) Observe the error message displayed.\nExpected Result: The selected file should be uploaded successfully and added to the document management system.\nActual Result: An error message is shown, indicating that the file could not be uploaded.",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,2
10021,DEMO-21,To Do,"As a user, I cannot access the ""My Orders"" page to track my order status.","Steps to Reproduce:\n\n1) Login to the application with valid credentials.\n2) Navigate to the user account dashboard.\n3) Look for the ""My Orders"" option and click on it.\nExpected Result: The ""My Orders"" page should load, displaying a list of the user's recent orders and their respective status.\nActual Result: Clicking on the ""My Orders"" option leads to an error page, preventing users from accessing their order information.",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",high,1
10022,DEMO-22,To Do,"As a user, I encounter display issues when viewing product images in the gallery.","Steps to Reproduce:\n\n1) Visit the product page of any item.\n2) Scroll down to the image gallery section.\n3) Observe the display of various product images.\nExpected Result: All product images in the gallery should be displayed correctly, maintaining their original aspect ratio and visual quality.\nActual Result: Some product images in the gallery appear distorted or stretched, affecting their visual representation and diminishing the user experience.",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,3
10023,DEMO-23,To Do,"As a user, I encounter an error when trying to submit a contact form.","Steps to Reproduce:\n\n1) Visit the contact page on the website.\n2) Fill out the contact form with valid information.\n3) Click on the submit button.\nExpected Result: The contact form should be submitted successfully, and the user should receive a confirmation message.\nActual Result: After clicking the submit button, an error message is displayed, and the form submission fails.",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,4
10024,DEMO-24,To Do,"As an administrator, I am unable to change a user's role from the admin panel.","Steps to Reproduce:\n\n1) Login to the application as an administrator.\n2) Go to the user management section in the admin panel.\n3) Locate a user whose role needs to be changed.\n4) Look for an option or button to modify the user's role.\nExpected Result: The administrator should be able to change the user's role from the admin panel.\nActual Result: No option or button is provided to modify the user's role, preventing the administrator from making the necessary changes.",Bug,"/secure/viewavatar?size=xsmall&avatarId=10303&avatarType=issuetype",medium,1
